user_id,news,condition,line_number,question,Fact,Details,Evidence,Close_ended,Opinion,Explanation,Other,Journalistic_Integrity,Blooms_taxonomy
649340531a2f52d516451864,Chile’s desert dumpsite for 60K tons of fast fashion seen from space,authors,SkyFi reported it was able to pinpoint the coordinates of the piles with help from members of its Discord channel and quickly accessed an existing image.,How did the Discord members even know where to start looking for the coordinates or region of the world?,0,1,0,0,0,0,0,0,2
6495a3d98a1cd336e64c06e0,Chile’s desert dumpsite for 60K tons of fast fashion seen from space,authors,n/A,I am curious how this started to be a dump site for clothing.,0,1,0,0,0,0,0,0,2
64a6f9d4e6f19adf91d06d91,Biden Administration Pledges Fight to Keep Climate-Friendly Farming Funds,authors,N/a,Will this bill make any of our taxes go up?,0,0,0,1,0,1,0,0,1
64a6f9d4e6f19adf91d06d91,Measles outbreak across US hits 25 year high,authors,N/a,Could it be possible that a third booster will ever be required due to more and more people not getting the vaccine?,0,0,0,0,1,1,0,0,2
6495b5e48a1cd336e64c06e5,"VP Kamala Harris inactive on border crisis as migrant surge continues, Title 42 end looms",authors,lines 26/26,"""Border crisis"" is quite heavy handed. Why is it a border crisis? Can you give some context?",0,1,1,0,0,1,0,1,6
6495b5e48a1cd336e64c06e5,Chile’s desert dumpsite for 60K tons of fast fashion seen from space,authors,Line 7,Are any discounts being offered on this clothing to make the sale more appealing to customers and reduce how much is being sent to the landfill? Do you know of the specific retailers?,0,1,0,0,0,0,0,0,5
6495b5e48a1cd336e64c06e5,Chile’s desert dumpsite for 60K tons of fast fashion seen from space,authors,Line 7,Do you know if attempts are being made to sell excess clothing or give it a way to impoverished areas across the globe?,0,1,0,0,0,0,0,0,5
6495b5e48a1cd336e64c06e5,"VP Kamala Harris inactive on border crisis as migrant surge continues, Title 42 end looms",authors,Line 3,"Can you give some context to ""massive numbers.?"" How do these numbers compare to past administrations or previous decades?",0,1,1,0,0,1,0,1,6
6495b5e48a1cd336e64c06e5,"As Afghan Migrants Are Kept In A Former Dick’s Sporting Goods, Measles Appears In Northern Virginia",authors,line 25,Can you tell me more about XYZ NEWs Organization. Sounds madeup.,0,1,1,0,0,0,0,1,2
6495b5e48a1cd336e64c06e5,"As Afghan Migrants Are Kept In A Former Dick’s Sporting Goods, Measles Appears In Northern Virginia",authors,Line 17,Can you give names of the local officials?,1,0,0,0,0,0,0,0,1
649340531a2f52d516451864,Chile’s desert dumpsite for 60K tons of fast fashion seen from space,authors,"An estimated 39,000 tons of unwanted clothes are added to the pile each year.",How many items of clothing are in 1 ton of clothing?,1,0,0,0,0,0,0,0,1
64a696f2e22bbccf37317e29,Renewable energy is here. But how do we store it for the future?,authors,"9,10,11",How does converting combustion engines to run on ammonia contribute to long-term energy storage solution?,0,0,0,0,0,1,0,0,2
64959e5d8a1cd336e64c06dc,The meaning behind the far-right symbol Texas shooter wore as he killed 8,authors,78-80,Why was there an opinion tacked on to the end of the article that speculated about the motivation with such a broad brush?,0,0,0,0,0,1,0,1,4
64a6a09486298c0ec95cefa4,The meaning behind the far-right symbol Texas shooter wore as he killed 8,authors,70-72,What reasons would someone have for supporting a white supremacy group if they weren't white?,0,1,0,0,1,0,0,0,3
649127b977cb3a816838b811,Who is George Santos and why is he in trouble?,authors,68-74,"How difficult is it to politically remove him due to the crime(s) and violations of ethics through official channels if he doesn't choose to willingly resign? And would such a removal, if successful, carry any penalties such as barring him from holding public office again?",0,1,0,0,1,0,0,0,5
64a7028435d90f9dd58308b0,Who is George Santos and why is he in trouble?,authors,67-72,When does Mr Santos need to issue a plea regarding the charges against him?,1,0,0,0,0,0,0,0,1
64959e5d8a1cd336e64c06dc,The meaning behind the far-right symbol Texas shooter wore as he killed 8,authors,67-68,Did the leader of the proud boys who was arrested have anything to do with the creation of the Spanish language version of The Daily Stormer?,0,1,0,0,0,0,0,0,2
649cf28ff9b8fec654033b72,"VP Kamala Harris inactive on border crisis as migrant surge continues, Title 42 end looms",chatbot,63-66,How will the administration work with Guatemala to prevent so many migrants from leaving their country?,0,1,0,0,0,0,0,0,2
6493727e161307e319dc6cdb,Who is George Santos and why is he in trouble?,authors,62-63,Is there any reason to believe that any of the charges put up against him will result in him losing his position in the government?,0,0,0,0,1,0,0,0,6
64981a5bfc989bfbf1514221,"VP Kamala Harris inactive on border crisis as migrant surge continues, Title 42 end looms",chatbot,61. 62. 63. 64. 65. 66. 67,What is Harris's primary focus when it comes to handling immigration moving forward?,0,1,0,0,0,0,0,0,2
64981eadf67109d07fbb71ad,"VP Kamala Harris inactive on border crisis as migrant surge continues, Title 42 end looms",chatbot,61-66,"If VP Harris doesn't want to deal with immigration, then why doesn't she appoint someone else?",0,0,0,0,0,1,0,0,4
64a6f9ee35d90f9dd58308ad,The meaning behind the far-right symbol Texas shooter wore as he killed 8,authors,60-32,Why does meme culture stand in as an excuse for people adopting hate filled ideology?,0,0,0,0,0,1,0,0,3
64981a5bfc989bfbf1514221,Thawing permafrost may unleash industrial pollution across the Arctic,chatbot,"58,59. 60",Are there any international regulations in place?,0,1,0,0,0,0,0,0,2
6495a52c8a1cd336e64c06e2,Thawing permafrost may unleash industrial pollution across the Arctic,authors,58-60,What is the hold up in international regulation for this increasingly likely problem?,0,1,0,0,0,0,0,0,1
64980afaf67109d07fbb71a8,Thawing permafrost may unleash industrial pollution across the Arctic,chatbot,58-60,Is anyone allowed to store substances in the Arctic permafrost?,1,0,0,1,0,0,0,0,1
64a49107b4f3637d496d4568,The meaning behind the far-right symbol Texas shooter wore as he killed 8,chatbot,57-59,Do adopters of extremist materials completely understand where the materials came from?,0,1,0,0,0,1,0,0,4
